Input.victimID,Answer.Q1Url
6565,http://www.gastongazette.com/shooting-leaves-man-injured-teen-charged-1.168580
2610,http://www.nydailynews.com/news/national/cops-hunt-gang-murder-for-hire-scheme-article-1.1406492
698,http://www.actionnewsjax.com/content/topstories/story/Lincoln-Court-shooting-victim-identified/KrzaIgBP10yc0FbZNvsopw.cspx
9394,http://www.rgj.com/article/J4/20131001/NEWS01/310010012/Report-Ivanhoe-man-threatens-deputies-over-gang-member-s-death
12108,http://m.lodinews.com/news/article_e0bf8710-55f1-11e3-882e-0019bb2963f4.html?mode=jqm
2656,http://www.thedenverchannel.com/news/front-range/a-23-year-old-woman-found-shot-to-death-in-a-suv-in-adams-county-on-sunday-is-identified
12119,http://www.nj.com/union/index.ssf/2013/11/plainfield_man_found_shot_dead_in_his_home.html
10920,http://www.abc15.com/dpp/news/region_west_valley/el_mirage/mcso-2-shot-at-youngtown-home-suspect-loose
10924,http://www.turnto23.com/news/local-news/sheriff-man-takes-several-people-hostage-goes-on-shooting-spree-in-ridgecrest
2664,http://usgunviolence.wordpress.com/2013/03/02/killed-janos-volgyessi-clark-wy/
722,http://www.auburnjournal.com/article/police-id-suspected-gunman-fatal-auburn-shooting
10929,http://houston.cbslocal.com/2013/10/25/houston-man-fatally-shot-after-assaulting-mom/
6654,http://lubbockonline.com/filed-online/2013-07-09/police-arrest-teen-connection-fatal-shooting#.UqaPg42JTck
12171,http://www.wjla.com/articles/2013/11/anne-arundel-police-investigate-shooting-97421.html
12262,http://articles.chicagotribune.com/2013-12-01/news/chi-chicago-shootings-nov-30-to-dec-1-man-shot-to-death-on-west-side-20131130_1_area-north-detectives-27-year-old-man-three-gunshot-wounds
2723,http://bigstory.ap.org/article/2-missing-boys-grandmother-found-dead-conn
10969,http://www.huffingtonpost.com/2013/10/27/david-midas-pennsylvania-cop-hostage_n_4167616.html
9682,http://abclocal.go.com/wpvi/story?section=news/local&id=9261960
9706,http://www.chron.com/news/gallery/Aryan-Brotherhood-of-Texas-string-of-deaths-70904.php
